DAY_ID,PUN_ID,ZONE_ID,PERIOD,MERIT_ORDER,VOLUME,PRICE
3,1,1,1,1,30,16
3,2,2,1,2,10,16
3,3,2,1,3,10,6
3,4,2,1,4,5,0
4,1,1,1,1,30,16
4,2,2,1,2,10,16
4,3,2,1,3,10,6
4,4,2,1,4,5,0
5,1,1,1,1,2,50
5,1,1,2,1,2,50
5,1,1,3,1,2,50
5,1,1,4,1,2,50
5,1,1,5,1,2,50
5,1,1,6,1,2,50
5,1,1,7,1,2,50
5,1,1,8,1,2,50
5,1,1,9,1,2,50
5,1,1,10,1,2,50
5,1,1,11,1,2,50
5,1,1,12,1,2,50
5,1,1,13,1,2,50
5,1,1,14,1,2,50
5,1,1,15,1,2,50
5,1,1,16,1,2,50
5,1,1,17,1,2,50
5,1,1,18,1,2,50
5,1,1,19,1,2,50
5,1,1,20,1,2,50
5,1,1,21,1,2,50
5,1,1,22,1,2,50
5,1,1,23,1,2,50
5,1,1,24,1,2,50